name,address,pname,cityname,adname,adcode,lon_gcj02,lat_gcj02,typecode,大类,中类,小类,lon_wgs84,lat_wgs84
西华门报话楼停车场,西新街28号,陕西省,西安市,新城区,610102,108.948814,34.264297,150904,交通设施服务,停车场,公共停车场,108.94413881,34.26587025
停车场(长缨东路),万年路172附近,陕西省,西安市,新城区,610102,108.998222,34.277657,150904,交通设施服务,停车场,公共停车场,108.99335456,34.27909248
西安市第九医院停车场(二环南路东段),二环南路东段145附近,陕西省,西安市,碑林区,610103,108.978386,34.235977,150904,交通设施服务,停车场,公共停车场,108.97360579,34.2374878
停车场(劳动南路),丰庆路165号,陕西省,西安市,莲湖区,610104,108.910194,34.249073,150904,交通设施服务,停车场,公共停车场,108.90560138,34.25069973
停车场(雁塔北路南段),西影路613附近,陕西省,西安市,雁塔区,610113,108.967758,34.224964,150904,交通设施服务,停车场,公共停车场,108.96302058,34.22650795
停车场(兴庆坊),金花北路8附近,陕西省,西安市,碑林区,610103,108.994621,34.261848,150904,交通设施服务,停车场,公共停车场,108.98977038,34.26330085
停车场(朱雀路环岛),朱雀大街南段附近,陕西省,西安市,雁塔区,610113,108.940613,34.228233,150904,交通设施服务,停车场,公共停车场,108.93596439,34.2298354
停车场(测绘路),休闲广场附近,陕西省,西安市,碑林区,610103,108.963013,34.238232,150904,交通设施服务,停车场,公共停车场,108.95829213,34.23978318
停车场(昌明路),长安南路362附近,陕西省,西安市,雁塔区,610113,108.946075,34.209179,150904,交通设施服务,停车场,公共停车场,108.94141253,34.21077825
停车场,翠华路60号,陕西省,西安市,雁塔区,610113,108.954826,34.211525,150904,交通设施服务,停车场,公共停车场,108.95013585,34.21310521
东升大厦停车场,文艺北路118号东升大厦,陕西省,西安市,碑林区,610103,108.953751,34.249847,150904,交通设施服务,停车场,公共停车场,108.94906129,34.25141552
